stop_id,stop_code,stop_name,stop_lat,stop_lon
103104,103104,MEMORIAL DR SE @ WOOD ST SE,33.74673,-84.372531
103108,103108,DECATUR ST SE @ HILL ST,33.749681,-84.379794
103130,103130,MARIETTA ST NW @ FAIRLIE ST NW,33.755725,-84.391431
103134,103134,MARIETTA ST NW @ PEACHTREE ST,33.754345,-84.390062
103136,103136,DECATUR ST SE @ PARK PL SOUTH SW,33.753874,-84.388897
103138,103138,DECATUR ST SE @ CENTRAL AVE SW,33.75306,-84.3877
103162,103162,AUBURN AVE NE @ HILLIARD ST NE,33.755447,-84.376613
103164,103164,AUBURN AVE NE @ JESSE HILL JR DR NE,33.755552,-84.380146
103168,103168,MEMEORIAL DR@LOOMIS AVE,33.74685,-84.37136
103169,103169,MEMORIAL DR SE@HILL ST SE,33.746888,-84.379162
103170,103170,MEMORIAL DR@GRANT ST,33.746943,-84.376455
103172,103172,MEMORIAL DR@OAKLAND AVE,33.746681,-84.375023
103174,103174,MEMORIAL DR@OAKLAND AVE,33.746827,-84.375423
103188,103188,JESSE HILL JR DR SE @ EDGEWOOD AVE,33.75429,-84.380385
103196,103196,AUBURN AVE @ WILLIAM H BORDERS SR DR,33.755465,-84.375167
103200,103200,GRANT ST@MEMORIAL DR,33.74715,-84.376761
103202,103202,MEMORIAL DR@CHEROKEE AVE,33.746646,-84.373578
103900,103900,KING MEMORIAL STATION,33.749978,-84.375881
104012,104012,MORELAND AVE SE@SANDERS AVE SE,33.741948,-84.349267
104013,104013,MORELAND AVE SE @ GLENWOOD AVE,33.740623,-84.349403
104014,104014,MEMORIAL DR SE@1237,33.747421,-84.347435
104046,104046,MEMORIAL DR SE@VANNOY ST SE,33.747707,-84.347176
104048,104048,MEMORIAL DR SE@MORELAND AVE SE,33.74768,-84.34905
104050,104050,MEMORIAL DR SE@MORELAND AVE SE,33.74752,-84.34939
104052,104052,MEMORIAL DR SE@FLAT SHOALS AVE SE,33.747425,-84.350372
104054,104054,MEMORIAL DR SE@HOWELL DR SE,33.747238,-84.350682
104056,104056,MEMORIAL DR SE@WILBUR AVE SE,33.747028,-84.352554
104058,104058,MEMORIAL DR SE@WILBUR AVE SE,33.746651,-84.353043
104060,104060,MEMORIAL DR SE@STOVALL ST SE,33.746696,-84.354233
104062,104062,MEMORIAL DR SE@STOVALL ST SE,33.746346,-84.354568
104064,104064,MEMORIAL DR SE@GIBSON ST SE,33.746338,-84.35601
104066,104066,MEMORIAL DR SE@HOLTZCLAW ST SE,33.746719,-84.356575
104068,104068,MEMORIAL DR SE@CHESTER AVE SE,33.746627,-84.359052
104070,104070,MEMORIAL DR SE@CHESTER AVE SE,33.746556,-84.359171
104072,104072,MEMORIAL DR SE@809,33.746573,-84.361313
